,NUM_CURSOS,CODIGO_IES,TIPO_CATEGORIA_ADM,REGIAO,UF,DEFICIENCIA_FISICA,DEFICIENCIA_AUDITIVA,DEFICIENCIA_VISUAL,DEFICIENCIA_COGNITIVA,DEFICIENCIA_MULTIPLA,RECURSOS_DEF_FISICA,RECURSOS_DEF_VISUAL,RECURSOS_DEF_AUDITIVA,RECURSOS_DEF_COGNITIVA,RECURSOS_DEF_MULTIPLA
1391,5,3332,Privada sem fins lucrativos,Sudeste,Rio de Janeiro,0.0,0.0,0.0,1.0,1.0,0.0,0.2,1.0,0.0,0.0
1392,51,3333,Privada com fins lucrativos,Sul,Rio Grande do Sul,2.0,1.0,0.0,0.0,0.0,0.23529411764705882,0.37254901960784315,0.3137254901960784,0.1568627450980392,0.1568627450980392
1393,55,3336,Pública Estadual,Sul,Rio Grande do Sul,16.0,2.0,7.0,3.0,1.0,0.10909090909090909,0.21818181818181817,0.12727272727272726,0.07272727272727272,0.07272727272727272
1394,5,3337,Privada com fins lucrativos,Nordeste,Piauí,0.0,1.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
1395,18,3339,Privada com fins lucrativos,Sul,Rio Grande do Sul,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.5,0.4444444444444444,0.2222222222222222,0.2222222222222222
1396,3,3360,,,,,,,,,,,,,
1397,11,3363,,,,,,,,,,,,,
1398,12,3365,Privada com fins lucrativos,Nordeste,Bahia,0.0,1.0,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.16666666666666666,0.16666666666666666
1399,53,3368,Privada sem fins lucrativos,Sudeste,Minas Gerais,1.0,2.0,0.0,6.0,0.0,0.22641509433962265,0.1320754716981132,0.32075471698113206,0.1320754716981132,0.1320754716981132
1400,40,3371,Privada sem fins lucrativos,Sudeste,Minas Gerais,13.0,17.0,13.0,2.0,0.0,3.15,4.725,4.2,2.1,2.1
1401,28,3372,Privada sem fins lucrativos,Sudeste,Minas Gerais,0.0,1.0,1.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.10714285714285714,0.10714285714285714,0.10714285714285714
1402,12,3375,Privada com fins lucrativos,Nordeste,Maranhão,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.25,0.16666666666666666,0.16666666666666666
1403,4,3376,,,,,,,,,,,,,
1404,2,3377,,,,,,,,,,,,,
1405,17,3388,,,,,,,,,,,,,
1406,1,3389,Privada sem fins lucrativos,Centro-Oeste,Goiás,0.0,0.0,1.0,0.0,0.0,6.0,6.0,6.0,4.0,4.0
1407,8,3393,,,,,,,,,,,,,
1408,16,3396,Privada com fins lucrativos,Centro-Oeste,Distrito Federal,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
