CODIGO_IES;NOME_IES;SIGLA_IES;TIPO_CATEGORIA_ADM;TIPO_ORG_ACADEMICA;REGIAO;UF;CODIGO_MUNICIPIO
3042;CHRISTUS FACULDADE DO PIAUÍ;CHRISFAPI;Privada com fins lucrativos;Faculdade;Nordeste;Piauí;2208403
3051;FACULDADE TEOLÓGICA DE CIÊNCIAS HUMANAS E SOCIAIS LOGOS;FAETEL;Privada sem fins lucrativos;Faculdade;Sudeste;São Paulo;3550308
13832;FACULDADE SAGRADA FAMÍLIA;FASF;Privada sem fins lucrativos;Faculdade;Sul;Paraná;4119905
3099;FACULDADE INTERNACIONAL DA PARAÍBA;FPB;Privada com fins lucrativos;Faculdade;Nordeste;Paraíba;2507507
3146;FACULDADE DE ODONTOLOGIA DO RECIFE;FOR;Privada sem fins lucrativos;Faculdade;Nordeste;Pernambuco;2611606
3148;FACULDADE ANCHIETA DO RECIFE;FAR;Privada com fins lucrativos;Faculdade;Nordeste;Pernambuco;2611606
3151;UNIVERSIDADE COMUNITÁRIA DA REGIÃO DE CHAPECÓ;UNOCHAPECÓ;Privada sem fins lucrativos;Universidade;Sul;Santa Catarina;4204202
146;CENTRO UNIVERSITÁRIO DE RIO PRETO;UNIRP;Privada com fins lucrativos;Centro Universitário;Sudeste;São Paulo;3549805
3171;FACULDADE EQUIPE;;Privada sem fins lucrativos;Faculdade;Sul;Rio Grande do Sul;4320008
3172;UNIVERSIDADE DO ESTADO DO AMAZONAS;UEA;Pública Estadual;Universidade;Norte;Amazonas;1302603
3192;INSTITUTO SUPERIOR DE EDUCAÇÃO DE CAJAZEIRAS;ISEC;Privada com fins lucrativos;Faculdade;Nordeste;Paraíba;2503704
3194;FACULDADE DE MINAS BH;FAMINAS-BH;Privada com fins lucrativos;Faculdade;Sudeste;Minas Gerais;3106200
3204;FACULDADE DE QUATRO MARCOS;FQM;Privada com fins lucrativos;Faculdade;Centro-Oeste;Mato Grosso;5107107
3205;FACULDADE DE CIÊNCIAS E TECNOLOGIA DE VIÇOSA;FAVIÇOSA;Privada com fins lucrativos;Faculdade;Sudeste;Minas Gerais;3171303
3223;ESCOLA SUPERIOR DE CIÊNCIAS DA SAÚDE;ESCS;Pública Estadual;Faculdade;Centro-Oeste;Distrito Federal;5300108
3268;FACULDADE MADRE THAIS;FMT;Privada com fins lucrativos;Faculdade;Nordeste;Bahia;2913606
4597;FACULDADE FUTURA;;Privada sem fins lucrativos;Faculdade;Sudeste;São Paulo;3557105
3285;FACULDADE SANTO ANTONIO;FSA;Privada com fins lucrativos;Faculdade;Nordeste;Bahia;2900702
5133;FACULDADE SENAC SÃO MIGUEL DO OESTE;;Privada sem fins lucrativos;Faculdade;Sul;Santa Catarina;4217204
5131;FACULDADE SENAC CAÇADOR;SENAC;Privada sem fins lucrativos;Faculdade;Sul;Santa Catarina;4203006
4294;FACULDADE SENAC JARAGUÁ DO SUL;;Privada sem fins lucrativos;Faculdade;Sul;Santa Catarina;4208906
3948;FACULDADE SENAC BLUMENAU;SENAC;Privada sem fins lucrativos;Faculdade;Sul;Santa Catarina;4202404
3947;FACULDADE SENAC CHAPECÓ;SENAC;Privada sem fins lucrativos;Faculdade;Sul;Santa Catarina;4204202
3946;FACULDADE SENAC TUBARÃO;;Privada sem fins lucrativos;Faculdade;Sul;Santa Catarina;4218707
3295;FACULDADE SENAC FLORIANÓPOLIS;SENAC FLORIANÓPOLIS;Privada sem fins lucrativos;Faculdade;Sul;Santa Catarina;4205407
18201;FACULDADE SENAC PALHOÇA;SENAC Palhoça;Privada sem fins lucrativos;Faculdade;Sul;Santa Catarina;4211900
17777;FACULDADE SENAC CONCÓRDIA;;Privada sem fins lucrativos;Faculdade;Sul;Santa Catarina;4204301
17277;Faculdade  SENAC Criciúma;Senac Criciúma;Privada sem fins lucrativos;Faculdade;Sul;Santa Catarina;4204608
3332;FACULDADE DE TECNOLOGIA SENAC RIO;FATEC;Privada sem fins lucrativos;Faculdade;Sudeste;Rio de Janeiro;3304557
3299;FACULDADE DE TECNOLOGIA INFORMÁTICA;FATI;Privada com fins lucrativos;Faculdade;Nordeste;Ceará;2304400
3302;Faculdade REGES de Junqueirópolis;;Privada sem fins lucrativos;Faculdade;Sudeste;São Paulo;3526001
3306;FACULDADE DE TECNOLOGIA IPUC;FATIPUC;Privada sem fins lucrativos;Faculdade;Sul;Rio Grande do Sul;4304606
3308;FACULDADE DE TECNOLOGIA TERMOMECÂNICA;FTT;Privada sem fins lucrativos;Faculdade;Sudeste;São Paulo;3548708
754;Centro Superior Una de Catalão;UNACAT;Privada com fins lucrativos;Faculdade;Centro-Oeste;Goiás;5205109
3319;Instituto Universitário Una de Catalão;Catalana;Privada com fins lucrativos;Faculdade;Centro-Oeste;Goiás;5205109
18474;FACULDADE UNA DE CATALÃO;UNA;Privada com fins lucrativos;Faculdade;Centro-Oeste;Goiás;5205109
4496;FACULDADE DE TECNOLOGIA DO VALE DO IVAÍ;FATEC-IVAI;Privada com fins lucrativos;Faculdade;Sul;Paraná;4111506
3323;INSTITUTO DE EDUCAÇÃO E ENSINO SUPERIOR DE CAMPINAS;IESCAMP;Privada com fins lucrativos;Faculdade;Sudeste;São Paulo;3509502
