,NUM_CURSOS,CODIGO_IES,TIPO_CATEGORIA_ADM,REGIAO,UF,DEFICIENCIA_FISICA,DEFICIENCIA_AUDITIVA,DEFICIENCIA_VISUAL,DEFICIENCIA_COGNITIVA,DEFICIENCIA_MULTIPLA,RECURSOS_DEF_FISICA,RECURSOS_DEF_VISUAL,RECURSOS_DEF_AUDITIVA,RECURSOS_DEF_COGNITIVA,RECURSOS_DEF_MULTIPLA
16,41,18,Privada sem fins lucrativos,Sul,Rio Grande do Sul,5.0,1.0,0.0,3.0,0.0,0.0,0.2926829268292683,0.4390243902439024,0.0,0.0
17,62,19,Privada sem fins lucrativos,Sudeste,São Paulo,3.0,4.0,3.0,23.0,0.0,1.7419354838709675,2.3225806451612905,2.032258064516129,1.1612903225806452,1.1612903225806452
18,89,20,Privada sem fins lucrativos,Sul,Rio Grande do Sul,13.0,12.0,16.0,20.0,0.0,2.426966292134832,3.640449438202247,2.831460674157303,1.6179775280898876,1.6179775280898876
19,57,21,Privada sem fins lucrativos,Sul,Rio Grande do Sul,9.0,0.0,4.0,3.0,0.0,1.0526315789473684,1.2280701754385963,1.0526315789473684,0.7017543859649122,0.7017543859649122
20,53,22,Privada sem fins lucrativos,Sudeste,São Paulo,1.0,0.0,216.0,3.0,0.0,4.188679245283018,6.264150943396228,5.584905660377358,2.792452830188679,2.792452830188679
21,78,23,Privada sem fins lucrativos,Sul,Rio Grande do Sul,33.0,17.0,17.0,1.0,1.0,2.3076923076923075,3.0769230769230766,2.6923076923076925,1.5384615384615383,1.5384615384615383
22,39,24,Pública Estadual,Nordeste,Bahia,3.0,0.0,3.0,2.0,0.0,0.7692307692307693,1.1538461538461535,1.0256410256410255,0.5128205128205128,0.5128205128205128
24,33,27,Privada sem fins lucrativos,Sudeste,Minas Gerais,4.0,1.0,0.0,1.0,0.0,0.9090909090909092,1.2121212121212122,1.2121212121212122,0.6060606060606061,0.6060606060606061
25,83,29,Pública Estadual,Nordeste,Ceará,32.0,18.0,95.0,3.0,2.0,0.0,0.0,0.7108433734939759,0.0,0.0
26,32,30,Privada sem fins lucrativos,Sudeste,Minas Gerais,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.09375,0.0,0.0
27,15,32,Pública Estadual,Nordeste,Alagoas,6.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
28,9,33,Pública Estadual,Sudeste,São Paulo,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
29,16,34,Pública Estadual,Sudeste,São Paulo,37.0,23.0,38.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
30,7,35,Pública Estadual,Sudeste,São Paulo,6.0,3.0,0.0,0.0,0.0,2.7142857142857144,2.7142857142857144,1.8571428571428568,1.8571428571428568,1.8571428571428568
31,5,36,Pública Estadual,Sudeste,São Paulo,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
32,7,37,Pública Estadual,Sudeste,São Paulo,1.0,0.0,5.0,4.0,0.0,0.8571428571428571,1.7142857142857142,1.2857142857142858,0.42857142857142855,0.42857142857142855
33,129,38,Pública Estadual,Norte,Pará,12.0,26.0,13.0,2.0,0.0,0.4031007751937984,0.4031007751937984,0.627906976744186,0.2015503875968992,0.2015503875968992
34,131,40,Pública Estadual,Nordeste,Bahia,17.0,13.0,30.0,11.0,2.0,0.03053435114503817,0.022900763358778626,0.2366412213740458,0.022900763358778626,0.022900763358778626
35,57,43,Pública Estadual,Sul,Santa Catarina,25.0,36.0,176.0,87.0,7.0,4.7368421052631575,6.298245614035088,5.596491228070176,3.1578947368421053,3.1578947368421053
36,173,47,Pública Estadual,Centro-Oeste,Goiás,117.0,25.0,66.0,60.0,5.0,2.6358381502890174,3.809248554913295,2.664739884393064,1.9364161849710984,1.9364161849710984
37,88,54,Pública Estadual,Sudeste,São Paulo,4.0,7.0,9.0,0.0,0.0,0.3522727272727273,0.4204545454545455,0.5,0.2954545454545455,0.2954545454545455
38,296,55,Pública Estadual,Sudeste,São Paulo,12.0,8.0,10.0,23.0,0.0,0.4898648648648649,0.4898648648648649,0.3918918918918919,0.2939189189189189,0.2939189189189189
39,215,56,Pública Estadual,Sudeste,São Paulo,29.0,17.0,24.0,36.0,7.0,0.3674418604651163,0.3953488372093023,0.386046511627907,0.25116279069767444,0.25116279069767444
40,88,57,Pública Estadual,Sul,Paraná,30.0,25.0,332.0,6.0,1.0,5.454545454545454,8.181818181818182,7.272727272727272,3.636363636363636,3.636363636363636
42,1,59,Pública Municipal,Sudeste,São Paulo,3.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,2.0,2.0
43,16,60,Especial,Sudeste,São Paulo,1.0,1.0,0.0,1.0,0.0,0.75,0.75,0.8125,0.5,0.5
46,73,71,Pública Estadual,Nordeste,Rio Grande do Norte,94.0,19.0,49.0,11.0,4.0,3.945205479452055,5.917808219178082,5.2602739726027385,2.6301369863013697,2.6301369863013697
48,9,73,Especial,Nordeste,Pernambuco,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0
50,54,76,Pública Municipal,Sul,Santa Catarina,12.0,11.0,12.0,3.0,3.0,3.092592592592593,4.111111111111111,3.592592592592593,2.055555555555556,2.055555555555556
52,7,79,Pública Municipal,Sudeste,São Paulo,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0
53,26,80,Privada sem fins lucrativos,Sul,Santa Catarina,18.0,4.0,4.0,11.0,2.0,3.4615384615384617,4.615384615384615,4.038461538461538,2.3076923076923075,2.3076923076923075
54,59,81,Privada sem fins lucrativos,Sul,Santa Catarina,13.0,4.0,6.0,6.0,1.0,1.7288135593220342,2.5084745762711864,2.0338983050847457,1.1694915254237288,1.1694915254237288
55,101,82,Privada sem fins lucrativos,Sul,Santa Catarina,34.0,18.0,22.0,49.0,1.0,3.207920792079208,4.811881188118811,4.2772277227722775,2.1386138613861387,2.1386138613861387
56,103,83,Privada sem fins lucrativos,Sul,Santa Catarina,36.0,21.0,27.0,29.0,0.0,2.679611650485437,4.019417475728154,3.5728155339805827,1.7864077669902914,1.7864077669902914
