,NUM_CURSOS,CODIGO_IES,TIPO_CATEGORIA_ADM,REGIAO,UF,DEFICIENCIA_FISICA,DEFICIENCIA_AUDITIVA,DEFICIENCIA_VISUAL,DEFICIENCIA_COGNITIVA,DEFICIENCIA_MULTIPLA,RECURSOS_DEF_FISICA,RECURSOS_DEF_VISUAL,RECURSOS_DEF_AUDITIVA,RECURSOS_DEF_COGNITIVA,RECURSOS_DEF_MULTIPLA
2064,4,15769,Sub-Nacional,Sudeste,SÃ£o Paulo,3.0,2.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0
2065,1,15784,Sub-Nacional,Sudeste,SÃ£o Paulo,2.0,0.0,0.0,2.0,0.0,2.0,4.0,2.0,1.0,1.0
2066,3,15793,Sub-Nacional,Sudeste,SÃ£o Paulo,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2067,5,15803,Sub-Nacional,Sudeste,SÃ£o Paulo,5.0,3.0,3.0,1.0,1.0,6.0,6.0,4.0,4.0,4.0
2074,3,16010,Sub-Nacional,Sudeste,EspÃ­rito Santo,2.0,1.0,3.0,0.0,0.0,1.3333333333333333,1.6666666666666667,2.333333333333333,1.0,1.0
2079,6,16395,Sub-Nacional,Sudeste,SÃ£o Paulo,1.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2080,3,16410,Sub-Nacional,Sudeste,SÃ£o Paulo,3.0,0.0,1.0,1.0,0.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
2185,3,17942,Sub-Nacional,Sudeste,SÃ£o Paulo,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2187,2,17953,Sub-Nacional,Sudeste,SÃ£o Paulo,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2188,4,17977,Sub-Nacional,Sudeste,SÃ£o Paulo,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2201,2,18049,Sub-Nacional,Sudeste,SÃ£o Paulo,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0
2217,9,18165,Sub-Nacional,Sudeste,SÃ£o Paulo,78.0,26.0,92.0,20.0,2.0,2.7777777777777777,2.888888888888889,2.5555555555555562,1.6666666666666667,1.6666666666666667
2231,42,18440,Nacional,Norte,ParÃ¡,37.0,4.0,33.0,2.0,1.0,3.7142857142857135,4.9523809523809526,3.880952380952381,2.4761904761904763,2.4761904761904763
2238,74,18492,Sub-Nacional,Sul,ParanÃ¡,10.0,1.0,10.0,8.0,0.0,0.17567567567567569,0.14864864864864866,0.4594594594594595,0.14864864864864866,0.14864864864864866
2240,30,18506,Nacional,Nordeste,Bahia,2.0,27.0,21.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
2281,23,18759,Nacional,Nordeste,CearÃ¡,11.0,4.0,3.0,0.0,0.0,0.13043478260869565,0.17391304347826084,0.2608695652173913,0.08695652173913042,0.08695652173913042
2283,41,18812,Nacional,Nordeste,Bahia,3.0,3.0,5.0,3.0,4.0,0.3902439024390244,0.3902439024390244,0.2682926829268293,0.1951219512195122,0.1951219512195122
2285,3,18817,Sub-Nacional,Sudeste,SÃ£o Paulo,1.0,0.0,0.0,1.0,0.0,4.0,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665
2343,2,19501,Sub-Nacional,Sudeste,SÃ£o Paulo,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2350,2,19578,Sub-Nacional,Sudeste,SÃ£o Paulo,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2364,5,19739,Sub-Nacional,Sudeste,SÃ£o Paulo,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2382,1,19862,Sub-Nacional,Sudeste,SÃ£o Paulo,1.0,0.0,0.0,0.0,0.0,6.0,9.0,8.0,4.0,4.0
2384,3,19864,Sub-Nacional,Sudeste,SÃ£o Paulo,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
2409,2,20478,Sub-Nacional,Sudeste,SÃ£o Paulo,1.0,0.0,0.0,0.0,0.0,1.5,1.0,1.5,1.0,1.0
2436,1,21095,Nacional,Sudeste,Rio de Janeiro,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2491,3,21713,Sub-Nacional,Sudeste,SÃ£o Paulo,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2522,3,22015,Sub-Nacional,Sul,ParanÃ¡,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.6666666666666667,1.3333333333333333,1.3333333333333333
2589,1,22319,Sub-Nacional,Sudeste,SÃ£o Paulo,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2598,19,23410,Sub-Nacional,Nordeste,MaranhÃ£o,1.0,0.0,2.0,0.0,0.0,0.15789473684210525,0.3157894736842105,0.3684210526315789,0.15789473684210525,0.15789473684210525
2599,2,23438,Sub-Nacional,Sudeste,SÃ£o Paulo,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2601,2,23700,Sub-Nacional,Sudeste,SÃ£o Paulo,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
2602,2,23705,Sub-Nacional,Sudeste,SÃ£o Paulo,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2603,1,23713,Sub-Nacional,Sudeste,Rio de Janeiro,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2605,1,23867,Sub-Nacional,Sudeste,SÃ£o Paulo,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0
2607,1,24672,Sub-Nacional,Sudeste,SÃ£o Paulo,1.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,2.0,2.0
