id_ies,cod,nome,categoria,sigla,tipo_organizacao
980,1664,"FACULDADE DA SAÚDE E ECOLOGIA HUMANA","Privada com fins lucrativos",FASEH,Faculdade
981,1666,"CENTRO UNIVERSITÁRIO UNIHORIZONTES","Privada com fins lucrativos",,"Centro Universitário"
982,1669,"INSTITUTO METROPOLITANO DE ENSINO SUPERIOR","Privada com fins lucrativos",IMES,Faculdade
983,1670,"FACULDADE ASA DE BRUMADINHO","Privada com fins lucrativos","IECEMB - FAB",Faculdade
984,1672,"INSTITUTO ESPERANÇA DE ENSINO SUPERIOR","Privada sem fins lucrativos",IESPES,Faculdade
985,1675,"FACULDADE METROPOLITANA DA GRANDE RECIFE","Privada sem fins lucrativos",UNESJ,Faculdade
986,1676,"CENTRO UNIVERSITÁRIO SÃO MIGUEL","Privada com fins lucrativos",UNISÃOMIGUEL,"Centro Universitário"
987,1677,"FACULDADE DE ENSINO SUPERIOR DO PIAUÍ","Privada com fins lucrativos",FAESPI,Faculdade
988,1679,"FACULDADE DE CAMPINA GRANDE DO SUL","Privada com fins lucrativos",FACSUL,Faculdade
989,1680,"Faculdade Unirb - Mossoró","Privada com fins lucrativos","F. UNIRB",Faculdade
990,1682,"FACULDADE SALESIANA MARIA AUXILIADORA","Privada sem fins lucrativos",FSMA,Faculdade
991,1683,"CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DE TERESINA","Privada com fins lucrativos",,"Centro Universitário"
992,5520,"FACULDADE CATHEDRAL","Privada com fins lucrativos",FACES,Faculdade
993,1690,"FACULDADE DE SÃO VICENTE","Privada com fins lucrativos",FSV,Faculdade
994,1693,"FACULDADE ITANHAÉM","Privada com fins lucrativos",FAITA,Faculdade
995,1694,"ESCOLA SUPERIOR DE CRICIÚMA - ESUCRI","Privada com fins lucrativos",ESUCRI,Faculdade
996,21931,"Faculdade Una de Jataí","Privada com fins lucrativos",Una,Faculdade
997,21932,"Instituto Una de Jataí","Privada com fins lucrativos",Una,Faculdade
998,1696,"FACULDADE CENTRAL DE CRISTALINA","Privada com fins lucrativos",FACEC,Faculdade
999,1697,"CENTRO UNIVERSITÁRIO FACOL","Privada sem fins lucrativos",UNIFACOL,"Centro Universitário"
1000,5511,"CENTRO UNIVERSITÁRIO CAMPO REAL","Privada com fins lucrativos",,"Centro Universitário"
1001,1699,"FACULDADE DE EDUCAÇÃO DE JARU","Privada sem fins lucrativos",UNICENTRO,Faculdade
1002,18260,"Faculdade Estácio de Imperatriz - ESTÁCIO IMPERATRIZ","Privada com fins lucrativos",,Faculdade
1003,1702,"CENTRO UNIVERSITÁRIO ESTÁCIO DA AMAZÔNIA","Privada com fins lucrativos","ESTÁCIO AMAZÔNIA","Centro Universitário"
1004,21268,"FACULDADE ESTÁCIO DE ANANINDEUA","Privada com fins lucrativos",,Faculdade
1005,18010,"Faculdade Estácio de Cuiabá","Privada com fins lucrativos","ESTÁCIO CUIABÁ",Faculdade
1006,1703,"INSTITUTO DE ENSINO SUPERIOR DE RIO VERDE","Privada sem fins lucrativos",IESRIVER,Faculdade
