CODIGO_IES,NOME_IES,TIPO_CATEGORIA_ADM,SIGLA_IES,TIPO_ORG_ACADEMICA
2885,Faculdade Univeritas Universus Veritas de Belo Horizonte - Veritas BH,Privada sem fins lucrativos,,Faculdade
2835,CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU,Privada com fins lucrativos,UNINASSAU,Centro Universitário
19335,FACULDADE UNIVERITAS UNIVERSUS VERITAS ANÁPOLIS,Privada com fins lucrativos,VERITAS ANÁPOLIS,Faculdade
18671,FACULDADE DA AMAZÔNIA DE PORTO VELHO,Privada com fins lucrativos,,Faculdade
19844,FACULDADE UNINASSAU SOBRAL,Privada com fins lucrativos,,Faculdade
19334,Faciuldade Uninassau Brasília,Privada com fins lucrativos,Nassau Brasília,Faculdade
18075,FACULDADE UNINASSAU JABOATÃO DOS GUARARAPES,Privada com fins lucrativos,UNINASSAU,Faculdade
18652,FACULDADE UNINASSAU JUAZEIRO DO NORTE,Privada com fins lucrativos,,Faculdade
18653,Faculdade Uninassau Garanhuns,Privada com fins lucrativos,Nassau Garanhuns,Faculdade
18651,Unama Faculdade da Amazônia de Boa Vista,Privada com fins lucrativos,UNAMA,Faculdade
18650,UNAMA FACULDADE DA AMAZÔNIA DE RIO BRANCO,Privada com fins lucrativos,FMN RIO BRANCO,Faculdade
18649,FACULDADE UNINASSAU MOSSORÓ,Privada com fins lucrativos,,Faculdade
18643,FACULDADE UNINASSAU MARACANAÚ,Privada com fins lucrativos,,Faculdade
18023,FACULDADE UNINASSAU PETROLINA,Privada com fins lucrativos,,Faculdade
17816,FACULDADE UNINASSAU FEIRA DE SANTANA,Privada com fins lucrativos,,Faculdade
2836,FACULDADE SUL DA AMÉRICA,Privada com fins lucrativos,SULDAMÉRICA,Faculdade
2843,FACULDADE DE CIÊNCIAS MÉDICAS E DA SAÚDE DE JUIZ DE FORA,Privada com fins lucrativos,FCMS/JF,Faculdade
22121,Faculdade de Ciências Médicas de Três Rios,Privada com fins lucrativos,FCM/TR,Faculdade
2845,FACULDADE REINALDO RAMOS,Privada com fins lucrativos,FARR,Faculdade
2849,ESCOLA SUPERIOR DOM HELDER CÂMARA,Privada sem fins lucrativos,ESDHC,Faculdade
2855,FACULDADE SÃO FRANCISCO DE ASSIS,Privada com fins lucrativos,UNIFIN,Faculdade
2859,FACULDADE DE BELÉM,Privada com fins lucrativos,FABEL,Faculdade
2870,FACULDADE SERRA DO CARMO,Privada com fins lucrativos,FASEC,Faculdade
2886,FACULDADE ZUMBI DOS PALMARES,Privada sem fins lucrativos,FAZP,Faculdade
2896,FACULDADE SATC,Privada sem fins lucrativos,FASATC,Faculdade
2903,FACULDADE CONCÓRDIA,Privada com fins lucrativos,FACC,Faculdade
