NUM_CURSOS,CODIGO_IES,TIPO_CATEGORIA_ADM,REGIAO,UF,DEFICIENCIA_FISICA,DEFICIENCIA_AUDITIVA,DEFICIENCIA_VISUAL,DEFICIENCIA_COGNITIVA,DEFICIENCIA_MULTIPLA,RECURSOS_DEF_FISICA,RECURSOS_DEF_VISUAL,RECURSOS_DEF_AUDITIVA,RECURSOS_DEF_COGNITIVA,RECURSOS_DEF_MULTIPLA
7,4029,,,,,,,,,,,,,
11,4030,,,,,,,,,,,,,
13,4037,Privada com fins lucrativos,Nordeste,Ceará,7.0,8.0,10.0,9.0,0.0,4.153846153846154,4.153846153846154,5.538461538461538,2.769230769230769,2.769230769230769
6,4042,,,,,,,,,,,,,
1,4043,Privada sem fins lucrativos,Sudeste,São Paulo,1.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,3.0,3.0
29,4045,Privada sem fins lucrativos,Sul,Paraná,0.0,1.0,4.0,3.0,0.0,0.7241379310344828,0.9655172413793104,1.206896551724138,0.4827586206896552,0.4827586206896552
1,4053,,,,,,,,,,,,,
4,4059,,,,,,,,,,,,,
3,4064,,,,,,,,,,,,,
1,4066,,,,,,,,,,,,,
7,4068,Privada com fins lucrativos,Centro-Oeste,Distrito Federal,0.0,1.0,0.0,0.0,0.0,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.2857142857142857
9,4077,Privada com fins lucrativos,Sul,Rio Grande do Sul,1.0,0.0,1.0,0.0,0.0,1.3333333333333333,2.0,1.5555555555555556,0.8888888888888888,0.8888888888888888
2,4079,,,,,,,,,,,,,
6,4086,Privada com fins lucrativos,Sudeste,São Paulo,1.0,0.0,0.0,0.0,1.0,1.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666
6,4090,,,,,,,,,,,,,
19,4093,Privada com fins lucrativos,Sul,Paraná,0.0,0.0,1.0,1.0,1.0,0.631578947368421,0.9473684210526315,0.8421052631578947,0.42105263157894735,0.42105263157894735
8,4094,Privada com fins lucrativos,Nordeste,Paraíba,1.0,1.0,2.0,0.0,0.0,1.5,1.75,1.75,1.0,1.0
20,4096,Privada com fins lucrativos,Sul,Rio Grande do Sul,0.0,1.0,0.0,0.0,0.0,0.2,0.2,0.25,0.15,0.15
18,4097,,,,,,,,,,,,,
54,4098,Pública Federal,Sul,Rio Grande do Sul,21.0,11.0,11.0,7.0,1.0,1.8518518518518519,1.8148148148148149,1.9259259259259258,1.1296296296296295,1.1296296296296295
2,4100,,,,,,,,,,,,,
3,4101,,,,,,,,,,,,,
2,4104,,,,,,,,,,,,,
5,4107,,,,,,,,,,,,,
2,4108,,,,,,,,,,,,,
8,4113,Privada com fins lucrativos,Centro-Oeste,Goiás,1.0,1.0,0.0,0.0,0.0,1.5,1.75,1.75,1.0,1.0
18,4118,Privada com fins lucrativos,Nordeste,Pernambuco,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0
21,4121,Privada sem fins lucrativos,Nordeste,Sergipe,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.19047619047619047,0.0,0.0
2,4123,,,,,,,,,,,,,
18,4135,,,,,,,,,,,,,
21,4138,Privada com fins lucrativos,Sudeste,São Paulo,15.0,3.0,8.0,3.0,0.0,4.0,4.0,5.333333333333333,2.6666666666666665,2.6666666666666665
24,4141,Privada com fins lucrativos,Sudeste,São Paulo,26.0,9.0,23.0,9.0,0.0,4.75,4.75,6.333333333333333,3.1666666666666665,3.1666666666666665
9,4150,,,,,,,,,,,,,
17,4153,Privada com fins lucrativos,Nordeste,Pernambuco,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.23529411764705882,0.0,0.0
9,4157,Privada com fins lucrativos,Sul,Santa Catarina,2.0,0.0,1.0,0.0,0.0,2.0,2.6666666666666665,2.6666666666666665,1.3333333333333333,1.3333333333333333
8,4162,Privada sem fins lucrativos,Centro-Oeste,Goiás,1.0,0.0,1.0,2.0,0.0,1875,1125,2.25,1125,1125
16,4163,Privada sem fins lucrativos,Sul,Santa Catarina,3.0,3.0,2.0,0.0,2.0,1875,1875,1875,1.25,1.25
7,4166,,,,,,,,,,,,,
24,4169,Privada com fins lucrativos,Sudeste,São Paulo,1.0,2.0,3.0,0.0,0.0,0.6666666666666666,0.6666666666666666,1.0,0.5,0.5
2,4173,,,,,,,,,,,,,
7,4185,,,,,,,,,,,,,
13,4197,Privada com fins lucrativos,Nordeste,Piauí,0.0,0.0,0.0,1.0,0.0,0.0,0.07692307692307693,0.15384615384615385,0.0,0.0
8,4198,,,,,,,,,,,,,
3,4199,,,,,,,,,,,,,
4,4201,,,,,,,,,,,,,
5,4204,,,,,,,,,,,,,
11,4211,,,,,,,,,,,,,
4,4218,,,,,,,,,,,,,
2,4219,,,,,,,,,,,,,
9,4251,Privada com fins lucrativos,Sudeste,Minas Gerais,3.0,3.0,2.0,1.0,0.0,3.3333333333333335,3.3333333333333335,4.444444444444445,2.2222222222222223,2.2222222222222223
16,4255,Privada sem fins lucrativos,Norte,Rondônia,0.0,1.0,3.0,2.0,0.0,1.0625,0.6875,1.0,625,625
14,4256,,,,,,,,,,,,,
3,4257,,,,,,,,,,,,,
12,4259,Privada com fins lucrativos,Centro-Oeste,Goiás,0.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333
6,4261,Privada com fins lucrativos,Sul,Rio Grande do Sul,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666
25,4277,Privada com fins lucrativos,Norte,Amazonas,4.0,1.0,0.0,0.0,0.0,0.4,0.56,0.48,0.24,0.24
3,4289,,,,,,,,,,,,,
9,4293,,,,,,,,,,,,,
3,4294,Privada sem fins lucrativos,Sul,Santa Catarina,0.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333
2,4329,Privada com fins lucrativos,Sudeste,Minas Gerais,0.0,0.0,1.0,0.0,0.0,1.0,1.5,1.0,0.5,0.5
11,4330,Privada com fins lucrativos,Sul,Paraná,0.0,4.0,0.0,0.0,0.0,0.7272727272727273,0.36363636363636365,0.7272727272727273,0.36363636363636365,0.36363636363636365
1,4355,,,,,,,,,,,,,
1,4356,,,,,,,,,,,,,
1,4357,,,,,,,,,,,,,
43,4358,Pública Federal,Sudeste,Minas Gerais,15.0,5.0,11.0,14.0,1.0,1.744186046511628,2.0,2.116279069767442,1.1627906976744187,1.1627906976744187
